Marca temporal,1.¿ SABES QUE ES LA CONTAMINACION AMBIENTAL?,2¿ PARA USTED QUE ES MEDIO AMBIENTE ?,3¿ SABES QUE ES RECICLAR?,"4¿SI VEZ BASURA EN LA CALLE, SERIAS CAPAZ DE REDOGERLA Y DEPOSITARLA EN UN CESTO?",5¿CUAL CREES QUE ES EL PROBLEMA QUE GENERA EL MAL TRATAMIENTO DE LA BASURA?,6¿CONSIDERAS A LA CONTAMINACION COMO UN PROBLEMA?,7¿QUE PROBLEMA AMBIENTAL CONSIDERAS QUE ES MUY DAÑINO?,"8¿QUE CREES TU, QUE CONTAMINA MAS EL AMBIENTE?",9¿CUAL CREES QUE ES LA MEJOR MANERA DE PREVENIR EL CALENTAMIENTO GLOBAL?,10¿CREES QUE LA VIDA DEL PLANETA DEPENDA DE NOSOTROS?
2022/09/17 8:06:28 p. m. GMT-5,Deterioro Del Ambiente;Tirar Basura,La naturaleza,Volver a utilizar,Sí,Falta de educacion,Grave,Deforestacion,Industrias;Automoviles,Plantardo arboles;Cuidando el agua;No tirar basura,Sí
2022/09/17 8:07:20 p. m. GMT-5,Recoger Basura,La naturaleza,Volver a utilizar,Sí,Falta de educacion;Mala organizacion,Grave,Agotamiento del agua;Contaminacion del aire,Industrias,Plantardo arboles;Cuidando el agua;No tirar basura,Sí
2022/09/17 8:09:45 p. m. GMT-5,Deterioro Del Ambiente;Tirar Basura,La naturaleza,Volver a utilizar,Sí,Falta de educacion,Grave,Deforestacion;Contaminacion del aire,Industrias;Automoviles,Plantardo arboles;Cuidando el agua;No tirar basura,Sí
2022/09/17 8:13:45 p. m. GMT-5,Deterioro Del Ambiente,La naturaleza,Separar los desechos,Sí,Falta de educacion,Grave,Agotamiento del agua,Industrias,Plantardo arboles,Sí
2022/09/17 9:12:47 p. m. GMT-5,Tirar Basura,La naturaleza,Separar los desechos;Volver a utilizarlos;Guardarlos,Sí,Falta de educacion,Grave,Agotamiento del agua,Industrias,Plantardo arboles;Cuidando el agua;No tirar basura,Sí
2022/09/17 9:56:17 p. m. GMT-5,Deterioro Del Ambiente,La naturaleza,Volver a utilizarlos,Sí,Falta de educacion,Grave,Agotamiento del agua,Automoviles,Cuidando el agua,Sí
2022/09/17 10:29:48 p. m. GMT-5,Deterioro Del Ambiente,La naturaleza,Volver a utilizarlos,Sí,Falta de educacion,Grave,Contaminacion del aire,Industrias,No tirar basura,Sí
2022/09/18 9:20:07 p. m. GMT-5,Deterioro Del Ambiente,La naturaleza,Separar los desechos,Sí,Falta de educacion,Grave,Deforestacion,Industrias,Plantardo arboles,Sí
2022/09/18 11:30:57 p. m. GMT-5,Deterioro Del Ambiente,La naturaleza,Volver a utilizarlos,Sí,Mala organizacion,Grave,Deforestacion,Industrias,Plantardo arboles;Cuidando el agua,Sí
2022/09/18 11:32:40 p. m. GMT-5,Deterioro Del Ambiente,La admosfera,Guardarlos,Sí,Falta de educacion,Grave,Contaminacion del aire,Automoviles,Cuidando el agua,Tal vez
2022/09/18 11:33:16 p. m. GMT-5,Deterioro Del Ambiente,La naturaleza,Volver a utilizarlos,Sí,Falta de educacion;Mala organizacion,Grave,Agotamiento del agua,Aviones,No tirar basura,Sí
2022/09/18 11:33:51 p. m. GMT-5,Tirar Basura,La capa de ozono,Volver a utilizarlos,Tal vez,Ninguno,Grave,Contaminacion del aire,Aviones,Plantardo arboles,Sí;Tal vez
2022/09/18 11:34:14 p. m. GMT-5,Recoger Basura,La naturaleza,Separar los desechos,Sí,Ninguno,Grave,Agotamiento del agua,Industrias,Plantardo arboles,Sí
2022/09/18 11:34:36 p. m. GMT-5,Deterioro Del Ambiente,La capa de ozono,Volver a utilizarlos,Tal vez,Falta de educacion,Normal,Deforestacion,Automoviles,Cuidando el agua,No
2022/09/18 11:34:56 p. m. GMT-5,Tirar Basura,La admosfera,Guardarlos,Tal vez,Mala organizacion,No afecta,Contaminacion del aire,Aviones,No tirar basura,Tal vez
2022/09/19 12:37:31 a. m. GMT-5,Recoger Basura,La naturaleza,Separar los desechos,Sí,Mala organizacion,Normal,Contaminacion del aire,Automoviles,No tirar basura,Tal vez
2022/09/19 6:26:47 a. m. GMT-5,Deterioro Del Ambiente,,Volver a utilizarlos,,Falta de educacion,Normal,Contaminacion del aire,Automoviles,Cuidando el agua,Sí
2022/09/19 6:27:17 a. m. GMT-5,Deterioro Del Ambiente,La capa de ozono,Volver a utilizarlos,Tal vez,Mala organizacion,Grave,Agotamiento del agua,Industrias,Plantardo arboles,Sí
2022/09/19 6:27:39 a. m. GMT-5,Tirar Basura,La admosfera,Separar los desechos,Sí,Mala organizacion,No afecta,Contaminacion del aire,Industrias,No tirar basura,Sí;Tal vez
2022/09/19 6:27:59 a. m. GMT-5,Deterioro Del Ambiente,La capa de ozono,Separar los desechos,Sí,Falta de educacion,Normal,Agotamiento del agua,Industrias,Cuidando el agua,Tal vez
2022/09/19 6:28:39 a. m. GMT-5,Deterioro Del Ambiente,La admosfera,,No,Mala organizacion,Normal,Deforestacion,Aviones,Plantardo arboles,Tal vez
2022/09/19 6:29:02 a. m. GMT-5,Deterioro Del Ambiente,La capa de ozono,Separar los desechos,Tal vez,Mala organizacion,Normal,Deforestacion,Automoviles,Cuidando el agua,Sí
2022/09/19 6:29:38 a. m. GMT-5,Tirar Basura,La naturaleza,Guardarlos,Sí,Mala organizacion,Grave,Contaminacion del aire,Industrias,No tirar basura,Sí
2022/09/19 6:30:10 a. m. GMT-5,Deterioro Del Ambiente,La naturaleza,Volver a utilizarlos,Sí,Falta de educacion,Grave,Deforestacion,Industrias,Cuidando el agua,Sí
2022/09/19 6:30:43 a. m. GMT-5,Deterioro Del Ambiente,La admosfera,Volver a utilizarlos,Tal vez,Falta de educacion,No afecta,Deforestacion,Aviones,Cuidando el agua,Tal vez
2022/09/19 6:31:15 a. m. GMT-5,Tirar Basura,La capa de ozono,Guardarlos,Sí,Mala organizacion,Normal,Contaminacion del aire,Industrias,Cuidando el agua,Sí
2022/09/19 6:31:35 a. m. GMT-5,Tirar Basura,La admosfera,Guardarlos,Tal vez,Mala organizacion,Normal,Contaminacion del aire,Aviones,Cuidando el agua,Sí
2022/09/19 6:31:53 a. m. GMT-5,Deterioro Del Ambiente,La admosfera,Guardarlos,Tal vez,Falta de educacion,Grave,Agotamiento del agua,Aviones,No tirar basura,Sí
2022/09/19 6:32:10 a. m. GMT-5,Recoger Basura,La capa de ozono,Volver a utilizarlos,Tal vez,Mala organizacion,No afecta,Agotamiento del agua,Industrias,Plantardo arboles,Sí
2022/09/19 6:32:27 a. m. GMT-5,Tirar Basura,La admosfera,Separar los desechos,Sí,Falta de educacion,Normal,Contaminacion del aire,Aviones,Plantardo arboles,Sí
2022/09/19 6:32:43 a. m. GMT-5,Deterioro Del Ambiente,La capa de ozono,Volver a utilizarlos,Sí,Ninguno,Grave,Contaminacion del aire,Aviones,No tirar basura,Sí
2022/09/19 6:33:01 a. m. GMT-5,Tirar Basura,La admosfera,Guardarlos,Sí,Ninguno,Grave,Deforestacion,Industrias,Plantardo arboles,Tal vez
2022/09/19 6:33:26 a. m. GMT-5,Recoger Basura,La capa de ozono,Guardarlos,Sí,Falta de educacion,Normal,Contaminacion del aire,Aviones,Cuidando el agua,Sí
2022/09/19 6:33:45 a. m. GMT-5,Tirar Basura,La naturaleza,Guardarlos,Sí,Mala organizacion,Normal,Contaminacion del aire,Automoviles,No tirar basura,Tal vez
