Marca temporal,Genero,¿Cuál es tu edad? ,¿Tienes automóvil? ,De las siguientes marcas ¿Cuál te  gusta mas? ,¿Qué es lo mas importante en un auto? ,¿Por qué comprarías un auto?,¿Cuándo conduces haces buen uso de los diferentes tipos de luces?,¿Consideras importante el uso correcto de luces y señales de transito?,¿Te gustaría que tu auto fuera inteligente?  (haga ciertas funciones de manera autónoma) ,¿Cuánto pagarías por un auto inteligente? ,¿Qué opinas de la tecnología en los automóviles?,¿Qué ejemplos consideras que debe tener tu auto ideal?
17/9/2022 16:51:40,Hombre,22,No,BMW,Su seguridad,Necesidad,A veces,Si,Si,300 mil - 500 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
17/9/2022 16:54:29,Hombre,22,Si,BMW,Su seguridad,Diseño,Si,Si,Si,300 mil - 500 mil,Me gusta,Un buen diseño exterior e interior
17/9/2022 17:08:35,Hombre,22,Si,Volkswagen,Su seguridad,Diseño,Si,Si,Si,100 mil - 200 mil,Me gusta,"Sistemas inteligentes, conectividad, etc."
17/9/2022 17:12:36,Mujer,22,No,BMW,Su seguridad,Necesidad,Si,Si,Si,100 mil - 200 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
17/9/2022 17:16:52,Mujer,22,No,BMW,Su seguridad,Necesidad,A veces,Si,Si,300 mil - 500 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
17/9/2022 17:52:00,Hombre,21,No,BMW,Comodidad,Buen precio,Si,Si,Si,100 mil - 200 mil,Me gusta,Un buen diseño exterior e interior
17/9/2022 20:03:03,Hombre,23,Si,Honda,Su seguridad,Buen precio,A veces,Si,Si,100 mil - 200 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
17/9/2022 20:03:41,Mujer,22,,BMW,Su seguridad,Necesidad,Si,Si,Si,300 mil - 500 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
17/9/2022 21:00:48,Mujer,19,No,BMW,Comodidad,Diseño,Si,Si,Si,300 mil - 500 mil,Me gusta,"Sistemas inteligentes, conectividad, etc."
17/9/2022 21:44:19,Hombre,22,No,Honda,Su seguridad,Buen precio,Si,Si,Tal vez,100 mil - 200 mil,Me es indiferente,Una estructura que ofrezca mayor seguridad ante impactos
17/9/2022 23:56:00,Hombre,22,Si,Mazda,Tecnología,Necesidad,Si,Si,Si,300 mil - 500 mil,Me gusta,Un buen diseño exterior e interior
18/9/2022 1:44:56,Hombre,23,No,BMW,Comodidad,Diseño,A veces,Si,Si,300 mil - 500 mil,Me gusta,Un buen diseño exterior e interior
19/9/2022 7:39:02,Hombre,22,Si,Mazda,Su seguridad,Diseño,Si,Si,No,100 mil - 200 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
19/9/2022 7:51:00,Mujer,24,Si,BMW,Tecnología,Diseño,No,A veces,Si,300 mil - 500 mil,Me gusta,Un buen diseño exterior e interior
19/9/2022 7:52:53,Hombre,21,Si,BMW,Comodidad,Diseño,Si,Si,Si,500 mil - 700 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
19/9/2022 8:43:06,Hombre,25,Si,Honda,Su seguridad,Necesidad,Si,Si,Tal vez,300 mil - 500 mil,Me gusta,Un buen diseño exterior e interior
19/9/2022 9:04:33,Hombre,23,No,Honda,Su seguridad,Necesidad,Si,Si,Si,100 mil - 200 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
19/9/2022 21:35:14,Hombre,22,Si,BMW,Su seguridad,Colección,A veces,Si,Si,300 mil - 500 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
19/9/2022 21:35:57,Mujer,22,Si,Honda,Su seguridad,Necesidad,Si,Si,Si,100 mil - 200 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
19/9/2022 21:36:34,Hombre,23,,Volkswagen,Su seguridad,Diseño,Si,Si,Si,300 mil - 500 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
19/9/2022 21:37:12,Mujer,23,No,Honda,Su seguridad,Necesidad,A veces,Si,Tal vez,300 mil - 500 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
19/9/2022 21:37:41,Hombre,23,Si,BMW,Su seguridad,Diseño,Si,Si,Si,300 mil - 500 mil,Me gusta,Un buen diseño exterior e interior
19/9/2022 21:38:14,Mujer,23,No,Honda,Su seguridad,Diseño,A veces,Si,Si,100 mil - 200 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
19/9/2022 21:38:46,Hombre,25,No,Mazda,Comodidad,Buen precio,Si,Si,Si,300 mil - 500 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
19/9/2022 21:39:15,Mujer,21,No,Honda,Su seguridad,Necesidad,Si,A veces,Si,100 mil - 200 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
19/9/2022 21:39:45,Hombre,21,No,Volkswagen,Comodidad,Buen precio,A veces,A veces,Si,300 mil - 500 mil,Me gusta,Un buen diseño exterior e interior
20/9/2022 15:41:00,Hombre,22,Si,BMW,Su seguridad,Diseño,Si,Si,Si,500 mil - 700 mil,Me gusta,"Sistemas inteligentes, conectividad, etc."
20/9/2022 22:11:33,Mujer,23,No,Honda,Su seguridad,Diseño,A veces,Si,Si,100 mil - 200 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
20/9/2022 22:12:07,Hombre,24,Si,BMW,Su seguridad,Buen precio,A veces,Si,Si,300 mil - 500 mil,Me gusta,Una estructura que ofrezca mayor seguridad ante impactos
