Marca temporal,Sexo,¿Qué edad tienes?,¿Qué carrera estas estudiando?,¿Qué semestre estas cursando?,Si tuvieras la oportunidad de realizar tus residencias o practicas profesionales ¿En que ciudad te gustaría?,¿Has escuchado de la industria 4.0?,De acuerdo a lo que as visto en tus materias del trascurso que llevas en tu carrera ¿Consideras que estas siendo capacitado para la industria actual?,De acuerdo a lo que has vito en el trascurso de tu carrera universitaria ¿Qué porcentaje de tu aprendizaje crees que seria útil para la industria actual?,De acuerdo a tus respuestas anteriores ¿Te gustaría tener materias capacitadas a la industria actuar?,¿Consideras que todos los avances de la industria actual es algo fundamental para la tener una mejor innovación y evolución de nuestras vidas y nuestro entorno?
10/10/2022 21:53:03,H,22-24,Sistemas Automotrices,noveno semestre,Puebla,Si,Si,70%,Si,Si
10/10/2022 21:55:22,H,25-27,Ambiental,quinto semestre,Estado de México,No,Si,70%,Si,Si
10/10/2022 21:56:29,M,22-24,Sistemas Computacionales,noveno semestre,Querétaro,Si,Si,90%,Si,Si
10/10/2022 21:58:58,M,22-24,Electrónica,séptimo semestre,Salamanca,Si,Tal vez,70%,Si,Si
10/10/2022 21:59:01,H,22-24,Sistemas Computacionales,noveno semestre,CDMX ,Si,Tal vez,50%,Si,No
10/10/2022 21:59:36,H,22-24,Sistemas Automotrices,noveno semestre,Querétaro,Si,Si,70%,Si,Si
10/10/2022 21:59:40,M,22-24,Sistemas Computacionales,noveno semestre,Querétaro,Si,Tal vez,90%,Si,Si
10/10/2022 22:00:39,M,22-24,Gestión Empresarial,noveno semestre,Salamanca,Si,Tal vez,30%,Si,Si
10/10/2022 22:02:09,H,22-24,Industrial,séptimo semestre,Salamanca,Si,Si,90%,considero que  mis materias actuales son muy capacitadas a la actualidad,Si
10/10/2022 22:03:39,M,,Gestión Empresarial,quinto semestre,Puebla,No,Tal vez,50%,Si,Si
10/10/2022 22:04:45,M,,Gastronomia,primer semestre,Estado de México,No,No,50%,Si,Si
10/10/2022 22:05:06,M,,Gestión Empresarial,primer semestre,No eh pensado,Si,No,100%,Si,Si
10/10/2022 22:06:01,H,22-24,Sistemas Automotrices,noveno semestre,Querétaro,Si,Si,70%,Si,Si
10/10/2022 22:06:50,M,22-24,Industrial,tercer semestre,Querétaro,Si,Si,90%,Si,Si
10/10/2022 22:07:07,H,22-24,Sistemas Automotrices,noveno semestre,Silao,Si,Tal vez,90%,Si,Si
10/10/2022 22:08:11,M,18-21,Sistemas Computacionales,primer semestre,Querétaro,No,No,50%,Si,Si
10/10/2022 22:13:22,M,18-21,Ambiental,primer semestre,Querétaro,No,Si,90%,Si,Si
10/10/2022 22:21:13,H,18-21,Sistemas Computacionales,noveno semestre,Querétaro,Si,Si,90%,Si,Si
10/10/2022 23:33:38,H,22-24,Sistemas Computacionales,Décimo semestre,Querétaro,Si,Si,70%,Si,Si
