"Index","GENERO","EDAD","¿Cuál es tu marca (fabricante) de automoviles favorita?","¿Qué tipo de auto te gusta más?","¿Te gustaría que tu auto fuera autónomo?","¿Te gustaria tener un sistema de luces en tu auto que fuera automatizado e inteligente?","¿Estas a favor o en contra de la conectividad wifi en el auto?","¿Qué movilidad alterna en el auto prefieres?","¿Te gustaria que tu auto aprendiera con IA(inteligencia artificial)?","¿Apoyarías la idea tener un sistema operativo como el de tu teléfono en el automóvil?","¿Crees que las asistencias tecnológicas de ayuda a la conducción mejoran o empeoran la conducción?","¿Usarías un auto creado por manufactura aditiva (impresión 3D)?","¿Te comprarías un automóvil creado por manufactura aditiva (impresión 3D)?","Submitter","Submission Date","Submission ID"
1,"HOMBRE","22","BMW","SUV","Sí","Sí","A favor","Híbridos","Sí","Sí","Mejoran","Sí","No","JUAN GIOVANNI MORENO MEZA","9/14/2022, 8:58:23 PM","97cc9acc"
2,"MUJER","18","FORD | BMW | VOLKSWAGEN/AUDI","Pick UP","Sí","Sí","A favor","Eléctricos","Sí","Sí","Mejoran","Sí","Sí",,"9/15/2022, 5:24:07 PM","d743f82a"
3,"MUJER","14","NISSAN | TOYOTA/LEXUS | MAZDA","Hatchback","Sí","Sí","A favor","Híbridos","Sí","Sí","Mejoran","Sí","Sí",,"9/15/2022, 5:25:31 PM","2e8aa5ab"
4,"HOMBRE","23","VOLKSWAGEN/AUDI","Sedán(tres volumenes)","No","Sí","A favor","Eléctricos","Sí","Sí","Mejoran","Sí","Sí",,"9/15/2022, 5:32:14 PM","3bfec203"
5,"MUJER","22","VOLKSWAGEN/AUDI","Otro","Sí","Sí","A favor","Híbridos","Sí","Sí","Mejoran","Sí","Sí",,"9/15/2022, 5:42:08 PM","e75eb2a3"
6,"MUJER","21","OTRO","SUV","Sí","Sí","A favor","Híbridos","Sí","Sí","Mejoran","Sí","Sí",,"9/15/2022, 7:04:16 PM","2fa4891a"
7,"HOMBRE","19","NISSAN | BMW | MAZDA","Sedán(tres volumenes)","No","Sí","A favor","Eléctricos","Sí","Sí","Mejoran","Sí","Sí",,"9/15/2022, 7:07:11 PM","5f84506b"
8,"HOMBRE","17","BMW","Otro","Sí","Sí","A favor","Híbridos","Sí","Sí","Mejoran","No","No",,"9/15/2022, 7:47:08 PM","3db9357e"
9,"HOMBRE","22","CHEVROLET | BMW | MAZDA","SUV","No","Sí","A favor","Eléctricos","Sí","Sí","Empeoran","No","No",,"9/15/2022, 7:49:28 PM","adcaeecd"
10,"HOMBRE","22","BMW","Sedán(tres volumenes)","Sí","Sí","A favor","Híbridos","Sí","Sí","Mejoran","No","No",,"9/16/2022, 8:49:36 AM","3f70e7a2"
11,"HOMBRE","23","VOLKSWAGEN/AUDI","Sedán(tres volumenes)","No","Sí","A favor","Híbridos","Sí","Sí","Mejoran","No","No",,"9/16/2022, 5:06:36 PM","8fd06b1b"
12,"HOMBRE","22","MAZDA","Pick UP","Sí","Sí","A favor","Combustion de hidrogeno","No","Sí","Mejoran","Sí","No",,"9/16/2022, 5:06:56 PM","c59b07b7"
13,"MUJER","21","NISSAN","SUV","Sí","Sí","A favor","Eléctricos","Sí","Sí","Empeoran","No","No",,"9/16/2022, 5:08:17 PM","1ee88ae4"
14,"MUJER","21","TOYOTA/LEXUS | BMW | OTRO","Pick UP","Sí","No","En contra","Híbridos","Sí","Sí","Mejoran","No","No",,"9/16/2022, 5:08:49 PM","8e448db7"
15,"HOMBRE","21","NISSAN","SUV","Sí","Sí","A favor","Híbridos","No","Sí","Mejoran","Sí","No",,"9/16/2022, 5:09:04 PM","d99358b7"
